Producto,Fecha,Precio $/KG,Unidad
Cacao Nacional,2/24/2020,8556,CO$/KG
Cacao Nacional,3/2/2020,8457.2,CO$/KG
Cacao Nacional,3/9/2020,8350,CO$/KG
Cacao Nacional,3/16/2020,8613.5,CO$/KG
Cacao Nacional,3/23/2020,8352.8,CO$/KG
Cacao Nacional,3/30/2020,8200.3,CO$/KG
Cacao Nacional,4/6/2020,8275.8,CO$/KG
Cacao Nacional,4/13/2020,8215,CO$/KG
Cacao Nacional,4/20/2020,8041.8,CO$/KG
Cacao Nacional,4/27/2020,8396.8,CO$/KG
Cacao Nacional,5/4/2020,8512.5,CO$/KG
Cacao Nacional,5/11/2020,8524,CO$/KG
Cacao Nacional,5/18/2020,8601,CO$/KG
Cacao Nacional,5/25/2020,8349.2,CO$/KG
Cacao Nacional,6/1/2020,8128.2,CO$/KG
Cacao Nacional,6/8/2020,7918.2,CO$/KG
Cacao Nacional,6/15/2020,7847.5,CO$/KG
Cacao Nacional,6/29/2020,7479.7,CO$/KG
Cacao Nacional,7/6/2020,7215.5,CO$/KG
Cacao Nacional,7/13/2020,6877.7,CO$/KG
Cacao Nacional,7/20/2020,6940,CO$/KG
Cacao Nacional,7/27/2020,7073.8,CO$/KG
Cacao Nacional,8/3/2020,7323.2,CO$/KG
Cacao Nacional,8/10/2020,7609.8,CO$/KG
Cacao Nacional,8/17/2020,7984.2,CO$/KG
Cacao Nacional,8/24/2020,8046.7,CO$/KG
Cacao Nacional,8/31/2020,8270.8,CO$/KG
Cacao Nacional,9/7/2020,8528.3,CO$/KG
Cacao Nacional,9/14/2020,8460,CO$/KG
Cacao Nacional,9/21/2020,8560.5,CO$/KG
Cacao Nacional,9/28/2020,8786.7,CO$/KG
Cacao Nacional,10/4/2020,8940.7,CO$/KG
Cacao Nacional,10/12/2020,8780,CO$/KG
Cacao Nacional,10/19/2020,8292.3,CO$/KG
Cacao Nacional,10/26/2020,8405,CO$/KG
Cacao Nacional,11/2/2020,8446.7,CO$/KG
Cacao Nacional,11/9/2020,8096.7,CO$/KG
Cacao Nacional,11/16/2020,7995,CO$/KG
Cacao Nacional,11/23/2020,8293.3,CO$/KG
Cacao Nacional,11/30/2020,8808.3,CO$/KG
Cacao Nacional,12/7/2020,8405.3,CO$/KG
Cacao Nacional,12/14/2020,8125,CO$/KG
Cacao Nacional,12/21/2020,8075,CO$/KG
Cacao Nacional,12/28/2020,8048.3,CO$/KG
Cacao Nacional,1/4/2021,8061.8,CO$/KG
Cacao Nacional,1/11/2021,7806.7,CO$/KG
Cacao Nacional,1/18/2021,7781.7,CO$/KG
Cacao Nacional,1/25/2021,7848.3,CO$/KG
Cacao Nacional,2/1/2021,7935.3,CO$/KG
Cacao Nacional,2/8/2021,7902,CO$/KG
Cacao Nacional,2/15/2021,7660.2,CO$/KG
Cacao Nacional,2/22/2021,7336,CO$/KG
Cacao Nacional,3/1/2021,7522.2,CO$/KG
Cacao Nacional,3/8/2021,7808,CO$/KG
Cacao Nacional,3/15/2021,7737.7,CO$/KG
Cacao Nacional,3/22/2021,7722.2,CO$/KG
Cacao Nacional,3/29/2021,7653.3,CO$/KG
Cacao Nacional,4/5/2021,7527.7,CO$/KG
Cacao Nacional,4/12/2021,7437,CO$/KG
Cacao Nacional,4/19/2021,7456.3,CO$/KG
Cacao Nacional,4/26/2021,7447.7,CO$/KG
Cacao Nacional,5/3/2021,7531.3,CO$/KG
Cacao Nacional,5/10/2021,7547.3,CO$/KG
Cacao Nacional,5/17/2021,7567.3,CO$/KG
Cacao Nacional,5/24/2021,7555.7,CO$/KG
Cacao Nacional,5/31/2021,7479.5,CO$/KG
Cacao Nacional,6/7/2021,7441.3,CO$/KG
Cacao Nacional,6/14/2021,7164.7,CO$/KG
Cacao Nacional,6/21/2021,6983.7,CO$/KG
Cacao Nacional,6/28/2021,6976.2,CO$/KG
Cacao Nacional,7/5/2021,6927.5,CO$/KG
Cacao Nacional,7/12/2021,6886,CO$/KG
Cacao Nacional,7/19/2021,6960,CO$/KG
Cacao Nacional,7/26/2021,6996.7,CO$/KG
Cacao Nacional,8/2/2021,7130.5,CO$/KG
Cacao Nacional,8/9/2021,7407.2,CO$/KG
